codice_scuola|anno_corso|scuola|regione|nazionale
"AGPC001017"|1|7.5|21.9|23.8
"AGPC001017"|2|14.3|21.4|24.4
"AGPC001017"|3|2.6|22.1|24.2
"AGPC001017"|4|3|18.8|21.4
"AGPC008012"|1|12.5|21.9|23.8
"AGPC008012"|2|14.7|21.4|24.4
"AGPC008012"|3|25.2|22.1|24.2
"AGPC008012"|4|3|18.8|21.4
"AGPC010001"|1|13.4|21.9|23.8
"AGPC010001"|2|10.9|21.4|24.4
"AGPC010001"|3|8.4|22.1|24.2
"AGPC010001"|4|14.4|18.8|21.4
"AGPC02000G"|1|10.6|21.9|23.8
"AGPC02000G"|2|9.3|21.4|24.4
"AGPC02000G"|3|32.5|22.1|24.2
"AGPC02000G"|4|16.1|18.8|21.4
"AGPC060002"|1|22.6|21.9|23.8
"AGPC060002"|2|16.8|21.4|24.4
"AGPC060002"|3|22.4|22.1|24.2
"AGPC060002"|4|19|18.8|21.4
"AGPM002017"|1|23.7|21.9|23.8
"AGPM002017"|2|25.8|21.4|24.4
"AGPM002017"|3|10.4|22.1|24.2
"AGPM002017"|4|7.9|18.8|21.4
"AGPM010005"|1|21.2|21.9|23.8
"AGPM010005"|2|20.6|21.4|24.4
"AGPM010005"|3|24.3|22.1|24.2
"AGPM010005"|4|22.4|18.8|21.4
"AGPM02000Q"|1|29.1|21.9|23.8
"AGPM02000Q"|2|15.6|21.4|24.4
"AGPM02000Q"|3|27.1|22.1|24.2
"AGPM02000Q"|4|15.8|18.8|21.4
"AGPM03000A"|1|20.5|21.9|23.8
"AGPM03000A"|2|17.5|21.4|24.4
"AGPM03000A"|3|20|22.1|24.2
"AGPM03000A"|4|12.3|18.8|21.4
"AGPM060006"|1|30.1|21.9|23.8
"AGPM060006"|2|33.6|21.4|24.4
"AGPM060006"|3|31.3|22.1|24.2
"AGPM060006"|4|13.5|18.8|21.4
"AGPS00101A"|1|19.4|21.9|23.8
"AGPS00101A"|2|16.7|21.4|24.4
"AGPS00101A"|3|21.1|22.1|24.2
"AGPS00101A"|4|21.5|18.8|21.4
"AGPS002016"|1|23.1|21.9|23.8
"AGPS002016"|2|20.6|21.4|24.4
"AGPS002016"|3|5.3|22.1|24.2
"AGPS002016"|4|20|18.8|21.4
"AGPS002027"|1|17.9|21.9|23.8
"AGPS002027"|2|19.6|21.4|24.4
"AGPS002027"|3|9.1|22.1|24.2
"AGPS002027"|4|11.4|18.8|21.4
"AGPS008015"|1|2.5|21.9|23.8
"AGPS008015"|2|6.3|21.4|24.4
"AGPS008015"|3|5.3|22.1|24.2
"AGPS008015"|4|27.3|18.8|21.4
"AGPS02000P"|1|18.4|21.9|23.8
"AGPS02000P"|2|14.5|21.4|24.4
"AGPS02000P"|3|18.4|22.1|24.2
"AGPS02000P"|4|19.8|18.8|21.4
"AGPS030009"|1|16.5|21.9|23.8
"AGPS030009"|2|10.9|21.4|24.4
"AGPS030009"|3|19.7|22.1|24.2
"AGPS030009"|4|6.2|18.8|21.4
"AGPS05000E"|1|13.5|21.9|23.8
"AGPS05000E"|2|23.5|21.4|24.4
"AGPS05000E"|3|23.4|22.1|24.2
"AGPS05000E"|4|18.9|18.8|21.4
"AGPS060005"|1|23.2|21.9|23.8
"AGPS060005"|2|29.1|21.4|24.4
"AGPS060005"|3|30.6|22.1|24.2
"AGPS060005"|4|15.3|18.8|21.4
"AGPS08000A"|1|27.5|21.9|23.8
"AGPS08000A"|2|26.8|21.4|24.4
"AGPS08000A"|3|46.4|22.1|24.2
"AGPS08000A"|4|55.6|18.8|21.4
"AGRA00301G"|1|11.5|25|28.8
"AGRA00301G"|2|41.7|27.9|33
"AGRA00301G"|3|||
"AGRA00301G"|4|20|27.9|30.7
"AGRC01000L"|1|19.6|25|28.8
"AGRC01000L"|2|34.5|27.9|33
"AGRC01000L"|3|||
"AGRC01000L"|4|19.8|27.9|30.7
"AGRC01001N"|1|0|25|28.8
"AGRC01001N"|2|0|27.9|33
"AGRC01001N"|3|||
"AGRC01001N"|4|0|27.9|30.7
"AGRC01005T"|1|17|25|28.8
"AGRC01005T"|2|14.8|27.9|33
"AGRC01005T"|3|||
"AGRC01005T"|4|17.9|27.9|30.7
"AGRC01601L"|1|0|25|28.8
"AGRC01601L"|2|0|27.9|33
"AGRC01601L"|3|||
"AGRC01601L"|4|0|27.9|30.7
"AGRC01602N"|1|9.5|25|28.8
"AGRC01602N"|2|0|27.9|33
"AGRC01602N"|3|||
"AGRC01602N"|4|0|27.9|30.7
"AGRH01201E"|1|18.9|25|28.8
"AGRH01201E"|2|37.6|27.9|33
"AGRH01201E"|3|||
"AGRH01201E"|4|30.3|27.9|30.7
"AGRH01301A"|1|39.2|25|28.8
"AGRH01301A"|2|37.3|27.9|33
"AGRH01301A"|3|||
"AGRH01301A"|4|39.8|27.9|30.7
"AGRH02000C"|1|22.9|25|28.8
"AGRH02000C"|2|28.6|27.9|33
"AGRH02000C"|3|||
"AGRH02000C"|4|12.1|27.9|30.7
"AGRI00601P"|1|0|25|28.8
"AGRI00601P"|2|41.7|27.9|33
"AGRI00601P"|3|||
"AGRI00601P"|4|57.1|27.9|30.7
"AGRI010009"|1|30|25|28.8
"AGRI010009"|2|32.5|27.9|33
"AGRI010009"|3|||
"AGRI010009"|4|29.1|27.9|30.7
"AGRI011016"|1|40.6|25|28.8
"AGRI011016"|2|26.4|27.9|33
"AGRI011016"|3|||
"AGRI011016"|4|38.2|27.9|30.7
"AGRI02000X"|1|42.3|25|28.8
"AGRI02000X"|2|41.2|27.9|33
"AGRI02000X"|3|||
"AGRI02000X"|4|26.6|27.9|30.7
"AGRI020011"|1|28.2|25|28.8
"AGRI020011"|2|19|27.9|33
"AGRI020011"|3|||
"AGRI020011"|4|38.9|27.9|30.7
"AGRI040005"|1|19.1|25|28.8
"AGRI040005"|2|16.7|27.9|33
"AGRI040005"|3|||
"AGRI040005"|4|11.9|27.9|30.7
"AGRI040016"|1|20.6|25|28.8
"AGRI040016"|2|13|27.9|33
"AGRI040016"|3|||
"AGRI040016"|4|3.4|27.9|30.7
"AGRI040027"|1|25.4|25|28.8
"AGRI040027"|2|41.2|27.9|33
"AGRI040027"|3|||
"AGRI040027"|4|22.7|27.9|30.7
"AGRI090006"|1|11.5|25|28.8
"AGRI090006"|2|18.7|27.9|33
"AGRI090006"|3|||
"AGRI090006"|4|28.4|27.9|30.7
"AGRI090017"|1|9.5|25|28.8
"AGRI090017"|2|5.6|27.9|33
"AGRI090017"|3|||
"AGRI090017"|4|11.8|27.9|30.7
"AGSD01000E"|1|16.3|25.2|30.6
"AGSD01000E"|2|24.7|28.8|30.9
"AGSD01000E"|3|||
"AGSD01000E"|4|19.7|25.2|27.2
"AGTA012016"|1|9.5|28.5|29.7
"AGTA012016"|2|28.2|32.1|31.8
"AGTA012016"|3|26.9|34|33.7
"AGTA012016"|4|13.6|34.6|33.8
"AGTD00301T"|1|24.7|28.5|29.7
"AGTD00301T"|2|37.3|32.1|31.8
"AGTD00301T"|3|25.7|34|33.7
"AGTD00301T"|4|30|34.6|33.8
"AGTD00302V"|1|39.3|28.5|29.7
"AGTD00302V"|2|15.4|32.1|31.8
"AGTD00302V"|3|4.3|34|33.7
"AGTD00302V"|4|24.2|34.6|33.8
"AGTD006019"|1|6.3|28.5|29.7
"AGTD006019"|2|17.6|32.1|31.8
"AGTD006019"|3|0|34|33.7
"AGTD006019"|4|21.2|34.6|33.8
"AGTD01301C"|1|29.8|28.5|29.7
"AGTD01301C"|2|36.4|32.1|31.8
"AGTD01301C"|3|26.3|34|33.7
"AGTD01301C"|4|16.7|34.6|33.8
"AGTD014018"|1|16.2|28.5|29.7
"AGTD014018"|2|17.7|32.1|31.8
"AGTD014018"|3|15.9|34|33.7
